XH KV,ĐTQG,XH FIFA,Điểm hiện tại
1,Argentina,1,1901
2,Pháp,2,1854
3,Tây Ban Nha,3,1835
4,Anh,4,1812
5,Braxin,5,1785
6,Bỉ,6,1772
7,Hà Lan,7,1758
8,Bồ Đào Nha,8,1741
9,Colombia,9,1727
10,Ý,10,1714
11,Uruguay,11,1713
12,Croatia,12,1701
13,Đức,13,1686
14,Morocco,14,1669
15,Thụy sĩ,15,1654
16,Mỹ,16,1641
17,Mexico,17,1635
18,Nhật Bản,18,1628
19,Senegal,19,1623
20,Iran,20,1611
21,Đan mạch,21,1607
22,Áo,22,1591
23,Nam Triều Tiên,23,1572
24,Châu Úc,24,1571
25,Ukraine,25,1567
26,Thổ Nhĩ Kì,26,1533
27,Ecuador,27,1530
28,Ba Lan,28,1523
29,Thụy Điển,29,1522
30,Wales,30,1521
31,Hungary,31,1518
32,Serbia,32,1506
33,Nga,33,1506
34,Qatar,34,1504
35,Panama,35,1502
36,Philippines,36,1502
37,Venezuela,37,1501
38,Ivory Coast,38,1499
39,Nigeria,39,1498
40,Canada,40,1494
41,Tunisia,41,1494
42,Peru,42,1489
43,Chile,43,1489
44,Slovakia,44,1479
45,Rumani,45,1474
46,Algeria,46,1474
47,Cộng hòa Séc,47,1473
48,Scotland,48,1472
49,Costa Rica,49,1469
50,Na Uy,50,1466
51,Cameroon,51,1458
52,Slovenia,52,1457
53,Mali,53,1456
54,Hy Lạp,54,1455
55,Iraq,55,1433
56,Ả Rập Xê Út,56,1431
57,Nam Phi,57,1415
58,Ireland,58,1403
59,Jamaica,59,1401
60,Democratic Rep Congo,60,1400
61,Uzbekistan,61,1397
62,Paraguay,62,1396
63,Phần Lan,63,1393
64,Ghana,64,1381
65,Cape Verde,65,1380
66,Albania,66,1375
67,Burkina Faso,67,1375
68,Jordan,68,1374
69,các Tiểu Vương Quốc Ả Rập Thống Nhất,69,1368
70,Georgia,70,1361
71,Iceland,71,1353
72,North Macedonia,72,1348
73,Montenegro,73,1345
74,Northern Ireland,74,1341
75,Bosnia and Herzegovina,75,1332
76,Oman,76,1326
77,Guinea,77,1324
78,Israel,78,1312
79,Honduras,79,1311
80,Bahrain,80,1302
81,El Salvador,81,1302
82,Bungari,82,1295
83,Gabon,83,1288
84,Luxembourg,84,1276
85,Haiti,85,1274
86,Curacao,86,1272
87,Trung Quốc,87,1267
88,Equatorial Guinea,88,1260
89,Bolivia,89,1258
90,Angola,90,1255
91,Benin,91,1254
92,Zambia,92,1249
93,Syrian,93,1246
94,New Zealand,94,1245
95,Uganda,95,1242
96,Palestine,96,1231
97,Armenia,97,1230
98,Namibia,98,1221
99,Belarus,99,1219
100,Trinidad và Tobago,100,1219
101,Thái Lan,101,1218
102,Kyrgyzstan,102,1213
103,Tajikistan,103,1212
104,Mozambique,104,1208
105,Madagascar,105,1203
106,Kosovo,106,1203
107,Guatemala,107,1198
108,Kenya,108,1197
109,Kazakhstan,109,1193
